<start> this room only has a toilet and the tank for the toilet is suspended on the wall above the toilet . <end>
<start> mostly men in suits posing for a group picture in front of a `` trade winds - asia '' sign . <end>
<start> a woman is walking down the sidewalk carrying two large bags and a man is one the sidewalk dancing . <end> <pad>
<start> this is a blue and white bathroom with a wall sink and a <unk> on the wall . <end> <pad> <pad> <pad>
<start> a man is carrying a surfboard and walking on a beach with a dog . <end> <pad> <pad> <pad> <pad> <pad> <pad>
<start> there are items on this bathroom shelf and a window is above the shelf . <end> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two zebras in the dirt , that are either fighting or greeting one another . <end> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a group of three giraffe walking along a dirt road next to a field . <end> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a <unk> <unk> <unk> , using the webpage on the computer screen as reference . <end> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a kitchen has a stove , a microwave , and a toaster oven . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two people sitting and two people walking through what looks to be an airport <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a broken flip phone sits , in two pieces , on the counter . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man and a woman posing in a living room for a picture . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a picture taken of a passing train from the window of another train . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a plate of fish with broccoli and a baked potato on the side . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a cat sitting on a table outside with a dog laying on the ground <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a city bus is lit up on the side of the street . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> young giraffe peeking his head into a <unk> in the exhibit wall . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a car that seems to be parked <unk> behind a <unk> parked car <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> multiple people waiting on a boarding dock to get on the train . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> there is a <unk> plane taking off in a partly cloudy sky . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a plate of food on a table with a person eating nearby . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a herd of elephants walking along a river and a rocky hillside . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a brown dog is on the deck of a boat on water . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> an airplane that is , either , landing or just taking off . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> the lights and <unk> of a busy , populated city in asia . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a large white bear laying on top of a bed with pillows . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man is flying a very large kite for trying to hang glide <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> several planes lined up on a runway during a cloudy day . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man is going down a wooden sidewalk on a skateboard . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a room with blue walls and a white sink and door . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a group of people are in an inner tube looking boat . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a blue boat themed bathroom with a life <unk> on the wall <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a vivid picture of an old passenger train <unk> by time . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a couch in a room with a remote on top of it <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a fire hydrant on the sidewalk is next to a window . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man is close to a train on the tracks . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a bicycle replica with a clock as the front wheel . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a black honda motorcycle parked in front of a garage . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two zebras standing together while one zebra <unk> his tail . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> appears to be a house under construction with lots of windows <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a child playing with a red frisbee in a park . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a couple of large buildings with a car parked out front <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a group of animals that are standing out in the grass <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man is sitting down and talking on a microphone . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a <unk> boarder that is jumping over some kind of wall <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a building with a large clock on top of the tower <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a bathroom sink and toilet are in a black setting . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man on a bench is next to parked bicycles . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two zebras kick up dust while getting into a <unk> . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two people with an umbrella are walking on the beach . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a couple of people that are standing on a baseball diamond <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a chicken and baked potato entree served at a restaurant . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man sitting on a bench by the grass and trees <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> people standing on a boarding dock at a train station . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man and a woman sitting down , testing wine . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man on a horse standing in side a white fence <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a bald man in a suit looking down at something <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> an adult and baby elephant are in bushy trees . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a black suitcase is alone on a shiny floor . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a white kitten is sitting on a laptop computer . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a bathroom with a sink and a mirror in it <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a baby in pajamas is chewing on a toy . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> light colored teddy bear dressed in a hoodie and pants <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> vibrant photo of a train sitting at a train station <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a large kitchen looks new and empty of furniture . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man and woman posing together for a picture . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> blue and white color scheme in a small bathroom . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a couple of people that are sitting on the porch <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a group of business people pose for a picture . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a red double decker bus driving down a street . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a person holding a small guitar over some food . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a commuter train in the station with people waiting . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> an asian city looks very cluttered with signs everywhere . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a dinner plate set with fish and a baked potato <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> the cat is laying next to the computer keyboard . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> the couple is riding an elephant near the water . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> people riding horseback on a mountain during a beautiful day <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a snowboarder doing an aerial trick off a half pipe <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a couple of bears that looks like they are hugging <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two toddlers each sitting on their own little <unk> . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> picture of a train taken from a passengers perspective . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> several large kites are laying on the sandy beach . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a small white bathroom has a wooden toilet seat . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two people flying a kite in a wide open space <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a bathroom with walls that are painted baby blue . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a pizza sitting on top of a pizza pan . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a giraffe hiding its face behind a rock wall . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a black dog chewing on bone in the dirt . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a person riding skis along a snow covered road . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> the boats <unk> around the curves of the attraction . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a balding man is holding a black microphone . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> some people playing with a frisbee in the park <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> well dressed man and woman pose for picture . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> an old man and a boy both holding bats <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a view of train tracks and a train . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a plate of broccoli and meat on a table <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a city at night with people walking around . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man in action looking at an incoming frisbee <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a large passenger airplane flying through the air . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man drinking wine at a wine tasting . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a naked little girl holding a cell phone . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a small baby is sleeping on assorted blankets . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a brown elephant is walking through scrubby bushes . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a man and woman posing for a picture together <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a happy baby in pajamas enjoying a <unk> toy <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two shiny blue birds are beak to beak . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> the bike has a clock as a tire . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> two cars parked on the sidewalk on the street <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a narrow bathroom has a long lit hallway . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a black motorcycle parked in a parking spot . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a fence with artistic designs and some plants nearby <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a train has painting on the lower half . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
<start> a very nice red building has three stories . <end> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
